ID,date,pressure,flow_rate,suction_pressure,discharge_pressure,rpm,vibration_rms,vibration_peak,structural_vibration,motor_current,power_draw_kw,bearing_temperature,motor_temperature,pump_casing_temperature,oil_temperature,fluid_temperature,ambient_temperature,oil_pressure,oil_level,seal_pressure,leakage_rate,runtime_hours_since_last_maintenance,days_since_last_maintenance,start_stop_count,pressure_fluctuations,flow_interruptions,acoustic_signal_level,time_until_next_maintenance
P1,2025-01-11,119.58,308.82,53.7,186.34,1840,1.299,2.202,0.903,15.94,7.16,62.52,76.22,64.54,57.61,54.7,33.16,5.05,87.38,3.99,0.0113,212.18,11,2,0.399,0,30.38,41
P1,2025-01-12,118.57,310.23,53.35,186.14,1848,1.409,2.582,0.887,15.86,7.33,63.32,74.98,65.64,57.53,55.75,32.82,5.02,87.16,4.02,0.0123,229.79,12,3,0.405,1,31.16,40
P1,2025-01-13,121.05,309.55,53.14,185.35,1841,1.473,2.481,0.85,15.86,7.17,62.4,74.81,65.28,58.51,54.47,32.35,5.03,87.69,4.05,0.0101,253.0,13,4,0.469,0,29.95,39
P1,2025-01-14,119.78,307.95,53.81,185.36,1857,1.441,2.594,0.811,16.14,7.11,63.85,75.93,63.97,59.48,54.49,34.15,5.0,87.45,3.99,0.0134,275.62,14,4,0.488,0,30.36,38
P1,2025-01-15,119.61,310.26,53.44,186.56,1849,1.549,2.545,0.905,15.99,7.38,64.46,76.25,65.77,57.95,55.16,33.49,4.98,86.51,4.07,0.0129,294.78,15,4,0.543,0,31.0,37
P1,2025-01-16,119.71,310.69,53.33,184.91,1855,1.63,2.708,1.034,16.08,7.19,63.35,76.44,64.73,57.79,55.37,33.11,4.99,87.73,4.02,0.0126,314.96,16,4,0.538,0,31.0,36
P1,2025-01-17,120.59,310.89,52.82,186.41,1839,1.514,2.655,0.976,16.16,7.39,62.64,75.71,65.74,57.86,54.93,33.06,4.99,87.6,4.02,0.0135,335.55,17,4,0.583,1,30.78,35
P1,2025-01-18,120.12,308.35,53.63,185.44,1853,1.469,2.863,1.086,16.29,7.45,62.31,77.2,65.86,58.3,55.14,34.29,4.91,87.05,4.05,0.0137,352.69,18,4,0.545,0,30.68,34
P1,2025-01-19,120.63,309.24,53.65,186.3,1840,1.639,2.905,1.076,16.24,7.35,63.35,76.39,65.68,59.26,55.05,32.69,4.96,87.16,4.05,0.0156,373.66,19,4,0.585,0,30.73,33
P1,2025-01-20,120.0,307.68,53.04,185.31,1844,1.69,2.999,1.076,16.49,7.39,63.44,77.19,65.39,59.12,55.22,33.28,4.83,86.04,4.06,0.0165,396.51,20,4,0.601,0,31.23,32
P1,2025-01-21,119.97,310.1,53.69,186.2,1844,1.725,2.963,1.05,16.33,7.47,63.8,76.76,66.53,58.24,56.27,34.54,4.89,85.9,4.06,0.0161,410.61,21,4,0.657,0,32.1,31
P1,2025-01-22,121.11,308.81,54.13,186.96,1859,1.847,3.146,1.102,16.36,7.53,63.98,76.35,65.66,59.52,55.54,33.33,4.93,85.96,3.94,0.0164,425.99,22,4,0.615,1,32.01,30
P1,2025-01-23,120.35,311.2,53.8,187.35,1853,1.592,2.956,1.133,16.27,7.38,63.38,76.82,66.93,58.68,55.18,33.74,4.87,85.8,4.16,0.0161,441.72,23,4,0.645,0,31.96,29
P1,2025-01-24,120.24,306.4,54.15,186.89,1849,1.879,3.324,1.17,16.41,7.53,63.27,77.67,65.97,58.32,55.19,33.71,4.88,86.31,4.06,0.0176,460.43,24,4,0.782,0,32.08,28
P1,2025-01-25,120.19,307.31,53.98,187.66,1856,1.784,3.276,1.283,16.46,7.62,64.85,78.15,66.0,59.41,56.29,33.91,4.82,85.87,4.1,0.0134,474.45,25,4,0.721,0,32.57,27
P1,2025-01-26,119.76,309.43,53.44,187.99,1862,1.92,3.273,1.32,16.43,7.51,64.69,78.6,66.89,59.01,56.56,33.78,4.75,85.7,4.14,0.0144,492.38,26,5,0.659,0,32.42,26
P1,2025-01-27,120.76,307.65,54.02,185.66,1844,1.925,3.246,1.237,16.49,7.66,64.8,78.59,67.78,58.89,56.55,33.85,4.87,85.54,4.11,0.0141,511.8,27,5,0.748,0,33.2,25
P1,2025-01-28,121.3,309.0,53.78,186.93,1841,1.852,3.269,1.29,16.28,7.51,65.6,77.92,67.58,59.45,56.33,34.57,4.86,84.69,4.09,0.0176,533.19,28,5,0.836,0,32.08,24
P1,2025-01-29,119.67,306.97,54.65,186.32,1860,2.053,3.489,1.36,16.67,7.7,64.35,77.9,66.98,59.46,55.13,34.33,4.71,83.9,4.13,0.017,551.28,29,5,0.846,1,33.62,23
P1,2025-01-30,120.12,308.07,53.85,186.69,1860,2.122,3.562,1.417,16.66,7.73,66.11,77.99,67.4,60.28,56.41,34.56,4.79,84.21,4.18,0.0156,571.89,30,5,0.849,0,33.31,22
P1,2025-01-31,120.71,305.92,54.01,186.94,1856,1.981,3.481,1.227,16.7,7.69,65.18,77.47,67.92,60.03,56.44,34.5,4.76,83.68,4.14,0.0171,589.39,31,6,0.818,1,33.31,21
P1,2025-02-01,121.31,307.43,53.37,186.45,1838,2.105,3.749,1.378,16.52,7.75,65.61,78.03,67.25,59.84,56.61,32.92,4.79,84.12,4.23,0.0167,603.76,32,6,0.882,0,33.76,20
P1,2025-02-02,121.44,307.68,54.15,189.55,1840,2.203,3.671,1.412,17.04,7.8,65.64,78.2,68.43,60.52,55.74,32.59,4.74,83.43,4.26,0.0199,618.44,33,6,0.897,0,33.9,19
P1,2025-02-03,121.35,304.03,53.6,187.6,1849,2.167,3.874,1.338,16.7,7.83,66.37,78.52,68.09,61.19,57.09,33.87,4.73,83.07,4.14,0.0215,637.78,34,6,0.865,2,34.49,18
P1,2025-02-04,120.22,311.86,54.34,186.86,1847,2.221,3.817,1.477,16.73,7.78,66.22,79.24,66.92,60.68,57.26,33.84,4.69,82.64,4.16,0.0186,658.3,35,6,0.89,0,33.39,17
P1,2025-02-05,121.81,306.94,54.54,187.48,1839,2.209,3.966,1.436,16.68,7.88,66.54,80.15,68.68,59.96,56.73,34.39,4.71,82.35,4.13,0.0186,679.88,36,6,0.948,0,33.7,16
P1,2025-02-06,120.56,306.17,53.82,188.15,1854,2.32,4.027,1.574,17.18,7.91,66.61,79.43,68.19,61.29,56.34,33.89,4.74,81.8,4.24,0.0202,702.29,37,6,0.999,0,34.03,15
P1,2025-02-07,122.19,308.64,53.41,187.89,1853,2.371,4.174,1.586,17.0,7.97,66.27,79.5,68.7,60.73,57.57,35.08,4.71,82.1,4.21,0.0182,716.65,38,6,1.026,0,35.01,14
P1,2025-02-08,121.74,306.28,54.06,189.88,1847,2.243,3.985,1.528,17.11,7.93,66.26,80.31,68.71,60.21,57.12,33.8,4.74,81.79,4.19,0.0164,730.89,39,6,1.016,0,34.18,13
P1,2025-02-09,122.55,307.76,53.79,187.57,1861,2.359,4.015,1.5,16.96,7.96,67.67,78.92,68.08,60.94,57.28,34.75,4.67,81.67,4.12,0.018,747.49,40,6,1.019,0,34.92,12
P1,2025-02-10,122.27,303.37,53.2,188.62,1848,2.523,4.206,1.638,17.07,8.03,66.55,79.91,69.03,61.62,57.86,34.36,4.61,80.84,4.27,0.0193,762.09,41,6,1.046,1,34.64,11
P1,2025-02-11,122.21,307.71,52.92,187.94,1859,2.331,4.161,1.633,17.12,7.88,66.59,78.2,69.35,60.52,57.07,34.11,4.51,81.03,4.21,0.0214,778.71,42,6,1.084,0,35.22,10
P1,2025-02-12,123.55,300.17,53.79,190.07,1848,2.313,4.2,1.633,17.12,7.8,66.76,79.68,68.61,60.47,56.55,33.19,4.7,80.42,4.2,0.022,796.41,43,6,1.097,1,35.69,9
P1,2025-02-13,122.04,304.27,53.05,188.21,1844,2.499,4.28,1.684,17.25,8.13,67.78,80.12,69.39,61.4,57.5,34.75,4.54,80.23,4.21,0.0199,810.76,44,6,1.149,1,36.79,8
P1,2025-02-14,122.31,303.2,52.95,188.56,1851,2.501,4.469,1.609,17.0,8.18,67.37,80.12,69.88,62.0,58.15,33.97,4.63,80.04,4.23,0.021,830.98,45,6,1.184,0,34.99,7
P1,2025-02-15,123.04,308.73,52.88,189.16,1862,2.51,4.654,1.613,17.41,8.01,67.5,79.71,69.5,61.49,56.98,34.99,4.5,79.58,4.16,0.0233,845.05,46,6,1.155,0,36.09,6
P1,2025-02-16,122.18,305.18,53.12,189.59,1848,2.609,4.504,1.713,17.35,8.15,67.67,80.89,68.98,61.55,57.69,32.57,4.56,78.9,4.26,0.0193,861.51,47,6,1.263,0,34.89,5
P1,2025-02-17,124.37,299.58,52.4,190.91,1841,2.522,4.55,1.754,17.48,8.26,68.36,80.29,70.01,62.01,59.72,34.71,4.59,78.34,4.3,0.022,883.22,48,6,1.217,3,36.72,4
P1,2025-02-18,124.1,304.45,52.57,189.5,1853,2.58,4.479,1.723,17.36,8.18,67.93,80.86,69.37,61.91,58.06,33.98,4.52,78.11,4.27,0.0222,906.19,49,7,1.133,1,36.99,3
P1,2025-02-19,124.17,303.17,52.29,189.2,1853,2.751,4.763,1.81,17.47,8.24,68.68,80.97,70.16,62.17,57.41,32.84,4.56,77.97,4.32,0.0224,923.01,50,7,1.242,1,36.14,2
P1,2025-02-20,123.12,303.61,52.16,189.06,1851,2.732,4.789,1.887,17.58,8.33,69.59,80.73,68.85,61.49,58.89,32.83,4.58,77.58,4.27,0.0191,942.85,51,7,1.207,1,37.14,1
P1,2025-02-21,119.44,315.83,52.49,184.53,1857,0.908,1.893,0.643,15.77,6.88,59.65,72.27,61.21,56.52,53.0,31.65,4.84,92.74,3.89,0.0053,32.31,1,6,0.273,0,28.38,52
P1,2025-02-22,119.77,312.12,51.55,184.77,1858,0.95,1.768,0.54,15.51,6.88,59.18,72.42,61.4,56.47,53.62,34.08,4.85,93.08,3.88,0.0043,48.78,2,6,0.236,1,28.63,51
P1,2025-02-23,119.5,315.03,51.38,185.38,1852,1.037,1.873,0.612,15.58,6.87,58.79,71.49,61.02,55.95,53.6,33.09,4.88,92.99,4.0,0.0073,63.44,3,6,0.191,0,28.69,50
P1,2025-02-24,119.6,315.81,51.7,184.5,1843,0.994,1.885,0.729,15.79,6.99,60.12,71.56,62.96,57.22,54.04,33.46,4.86,93.45,3.96,0.0063,79.95,4,6,0.307,0,29.08,49
P1,2025-02-25,121.08,312.92,51.63,185.07,1858,1.106,2.049,0.734,15.99,7.08,59.8,74.89,63.98,57.72,53.48,31.71,4.84,92.12,3.89,0.0079,101.85,5,6,0.421,0,29.58,48
P1,2025-02-26,119.7,312.99,51.25,185.07,1849,1.255,2.05,0.743,15.85,7.07,60.37,73.94,63.63,58.09,54.82,31.77,4.8,91.74,4.0,0.0082,125.44,6,6,0.325,1,29.95,47
P1,2025-02-27,119.87,312.67,51.61,186.02,1845,1.049,2.035,0.733,15.86,6.99,60.39,72.21,61.8,57.22,52.66,32.69,4.78,91.33,3.96,0.0084,148.37,7,7,0.362,1,30.07,46
P1,2025-02-28,118.93,312.25,51.27,184.41,1837,1.129,2.115,0.779,15.62,7.06,59.31,73.38,61.95,57.11,53.8,32.97,4.65,91.77,4.01,0.0084,168.99,8,7,0.352,0,30.05,45
P1,2025-03-01,119.53,312.01,50.99,184.92,1855,1.137,2.272,0.735,15.94,7.1,60.1,72.94,62.98,57.2,53.88,32.81,4.73,91.05,3.94,0.0067,190.99,9,7,0.388,0,29.33,44
P1,2025-03-02,121.02,313.33,51.19,184.8,1863,1.257,2.251,0.813,16.06,7.22,60.21,72.64,62.89,57.18,54.25,32.66,4.73,90.27,3.93,0.0095,206.58,10,7,0.425,0,29.0,43
P1,2025-03-03,120.28,306.55,50.87,185.79,1851,1.297,2.372,0.814,16.02,7.08,61.28,73.69,63.54,58.29,54.28,33.18,4.72,91.17,4.03,0.0068,228.6,11,7,0.475,0,30.01,42
P1,2025-03-04,122.09,313.89,50.64,185.8,1836,1.3,2.486,0.837,15.9,7.13,60.44,74.65,63.01,58.2,54.69,32.62,4.71,91.4,3.96,0.0105,252.37,12,7,0.435,0,29.59,41
P1,2025-03-05,120.47,310.46,50.48,183.97,1844,1.373,2.54,0.791,16.21,7.28,60.85,74.76,63.34,57.69,54.66,32.65,4.65,91.16,4.03,0.012,269.54,13,7,0.496,0,29.97,40
P1,2025-03-06,120.85,311.66,50.68,185.93,1850,1.437,2.594,0.847,16.2,7.22,60.91,73.13,64.49,58.73,55.24,31.65,4.66,91.19,4.07,0.0074,287.44,14,7,0.467,0,30.02,39
P1,2025-03-07,121.61,311.71,51.18,186.56,1853,1.599,2.675,1.007,16.16,7.33,61.41,73.59,63.67,58.09,54.98,31.98,4.65,90.34,4.06,0.01,307.76,15,7,0.495,0,30.68,38
P1,2025-03-08,119.54,310.81,49.51,184.07,1859,1.503,2.595,0.964,16.07,7.24,61.55,73.58,63.02,59.11,56.0,31.57,4.6,90.45,3.95,0.0095,322.83,16,7,0.501,1,31.56,37
P1,2025-03-09,120.86,310.42,50.56,186.36,1846,1.644,2.507,0.997,16.2,7.27,61.61,74.45,63.66,58.77,54.78,31.66,4.65,88.79,4.05,0.0102,346.17,17,8,0.519,0,30.84,36
P1,2025-03-10,121.63,309.71,50.67,185.88,1857,1.493,2.73,0.932,16.1,7.29,61.18,73.05,63.66,57.24,55.27,30.42,4.64,89.96,4.07,0.0096,360.94,18,8,0.501,0,30.95,35
P1,2025-03-11,121.13,311.67,50.16,185.88,1847,1.605,2.665,1.052,16.37,7.33,62.93,74.41,63.21,57.85,55.09,31.22,4.54,89.8,4.03,0.0122,375.76,19,9,0.55,0,30.64,34
P1,2025-03-12,121.16,307.07,50.42,186.62,1859,1.598,2.865,1.003,16.33,7.43,61.09,74.73,63.9,59.75,55.39,31.83,4.55,89.14,4.03,0.0139,399.64,20,9,0.582,0,31.61,33
P1,2025-03-13,121.54,311.33,49.79,186.81,1850,1.691,3.055,1.087,16.4,7.46,61.51,74.72,64.13,57.99,54.54,31.42,4.6,89.38,4.07,0.0112,418.9,21,9,0.568,0,31.13,32
P1,2025-03-14,121.96,310.37,49.88,185.66,1845,1.788,3.204,1.217,16.57,7.61,61.91,74.58,64.3,59.15,55.99,30.86,4.54,88.77,4.14,0.0113,441.23,22,9,0.766,0,31.62,31
P1,2025-03-15,121.23,307.24,50.17,186.67,1848,1.832,3.09,1.153,16.54,7.41,64.05,73.63,64.8,59.5,54.88,31.01,4.46,88.76,4.13,0.013,459.74,23,9,0.638,0,32.59,30
P1,2025-03-16,122.42,308.34,49.81,186.67,1851,1.727,2.949,1.07,16.48,7.5,61.92,73.94,64.35,59.32,55.12,31.49,4.56,88.71,4.13,0.0114,480.22,24,9,0.604,0,31.91,29
P1,2025-03-17,121.76,307.54,49.35,188.89,1843,1.838,3.124,1.133,16.68,7.49,63.1,75.43,64.96,58.8,54.61,30.52,4.49,87.98,4.12,0.0135,498.7,25,9,0.679,0,31.94,28
P1,2025-03-18,121.79,308.89,49.61,186.15,1849,1.891,3.222,1.202,16.8,7.52,63.08,75.44,65.28,59.51,55.51,31.64,4.53,88.02,4.19,0.0149,520.92,26,9,0.729,1,33.39,27
P1,2025-03-19,122.8,310.8,49.98,186.92,1844,1.821,3.343,1.24,16.72,7.62,62.5,74.96,64.64,59.14,54.8,30.82,4.42,88.45,4.05,0.0129,539.97,27,9,0.799,1,33.09,26
P1,2025-03-20,121.94,306.44,50.26,187.5,1850,1.829,3.211,1.204,16.59,7.58,64.05,76.86,65.05,60.13,55.49,31.16,4.57,87.06,4.13,0.0118,561.16,28,9,0.711,0,33.01,25
P1,2025-03-21,121.89,309.04,49.96,186.05,1840,1.732,3.395,1.162,16.55,7.76,63.53,75.07,64.76,59.62,55.51,31.26,4.47,87.18,4.16,0.0121,579.3,29,9,0.79,0,32.5,24
P1,2025-03-22,121.98,305.99,50.24,187.91,1854,1.83,3.479,1.248,16.84,7.85,63.96,76.13,65.09,60.27,55.61,29.66,4.57,87.42,4.19,0.015,603.22,30,9,0.816,1,34.0,23
P1,2025-03-23,122.21,307.34,50.24,187.03,1860,2.208,3.631,1.27,17.0,7.81,62.87,74.95,65.53,59.44,56.25,30.79,4.43,87.19,4.12,0.0157,622.82,31,9,0.892,0,33.78,22
P1,2025-03-24,123.16,307.57,50.32,188.57,1850,2.086,3.569,1.343,16.91,7.77,64.17,76.99,66.05,60.34,56.38,30.94,4.4,86.2,4.18,0.0149,637.42,32,9,0.876,0,33.11,21
P1,2025-03-25,122.85,307.67,50.41,188.27,1855,2.04,3.737,1.382,16.77,7.73,64.07,76.72,65.83,60.55,55.07,30.54,4.45,85.86,4.2,0.0178,656.32,33,9,0.945,0,33.68,20
P1,2025-03-26,123.08,304.59,50.42,187.52,1855,2.108,3.838,1.377,16.7,7.86,64.74,76.94,65.56,59.84,57.45,30.02,4.41,86.06,4.18,0.0161,674.77,34,9,0.914,1,34.75,19
P1,2025-03-27,122.25,310.05,50.13,187.12,1861,2.184,3.711,1.351,17.0,7.83,63.85,76.26,66.57,59.83,55.31,30.1,4.38,85.18,4.14,0.0139,691.74,35,9,0.886,0,33.16,18
P1,2025-03-28,122.85,309.09,51.28,187.38,1858,2.02,3.703,1.398,16.86,7.73,63.3,76.32,64.76,59.2,55.97,29.9,4.41,85.97,4.22,0.014,707.34,36,9,0.911,0,33.56,17
P1,2025-03-29,122.87,306.62,50.51,188.17,1859,2.125,3.748,1.383,17.2,7.97,64.93,76.39,66.1,60.17,56.82,30.11,4.41,84.73,4.2,0.0171,725.28,37,9,0.949,1,34.07,16
P1,2025-03-30,121.92,303.6,49.85,187.17,1858,2.29,3.908,1.426,17.28,8.0,64.9,77.44,66.9,61.21,57.05,30.51,4.35,84.47,4.16,0.0156,740.28,38,9,0.994,1,34.95,15
P1,2025-03-31,123.45,308.86,49.55,187.8,1846,2.307,3.915,1.381,16.94,7.87,64.0,75.55,66.2,60.58,55.82,30.0,4.47,84.55,4.2,0.0145,754.58,39,10,1.0,0,33.75,14
P1,2025-04-01,123.2,305.77,50.44,188.25,1840,2.234,3.949,1.546,17.05,7.91,65.55,76.91,66.44,61.27,56.18,30.3,4.34,83.79,4.13,0.0173,774.56,40,10,0.942,0,34.0,13
P1,2025-04-02,122.79,307.46,50.68,189.79,1851,2.356,3.909,1.421,17.08,7.95,66.07,76.96,65.76,60.82,56.01,28.5,4.31,83.92,4.24,0.0145,796.53,41,10,1.085,0,34.55,12
P1,2025-04-03,121.82,303.4,51.23,188.94,1845,2.428,4.237,1.605,17.18,7.93,64.99,76.44,66.95,61.41,57.29,28.73,4.28,83.74,4.27,0.0153,819.48,42,10,1.05,0,35.13,11
P1,2025-04-04,123.03,303.57,49.9,189.47,1852,2.345,4.133,1.568,17.18,8.05,65.11,77.73,66.56,61.91,56.72,29.28,4.37,83.94,4.2,0.019,838.54,43,10,1.028,0,33.83,10
P1,2025-04-05,123.1,306.35,50.9,187.2,1853,2.458,4.304,1.549,17.14,8.11,66.3,78.26,66.44,61.9,56.03,30.38,4.21,82.77,4.22,0.0165,858.62,44,11,1.069,0,35.71,9
P1,2025-04-06,123.83,304.88,49.8,189.34,1841,2.532,4.572,1.699,17.22,8.16,66.47,78.67,67.75,62.17,56.1,28.79,4.29,82.28,4.21,0.0186,877.51,45,11,1.163,1,35.83,8
P1,2025-04-07,122.47,303.54,50.69,187.35,1846,2.505,4.205,1.584,17.26,8.11,66.33,77.41,66.63,60.84,56.61,30.12,4.18,82.31,4.26,0.0197,901.15,46,11,1.118,1,35.02,7
P1,2025-04-08,123.78,304.32,51.44,189.86,1849,2.556,4.367,1.669,17.25,8.17,65.83,78.0,67.29,61.65,56.22,29.09,4.2,83.22,4.24,0.0185,920.88,47,11,1.132,0,35.37,6
P1,2025-04-09,124.17,302.0,51.37,189.54,1852,2.536,4.546,1.646,17.25,8.09,67.13,78.68,68.05,61.71,56.63,30.04,4.26,81.99,4.33,0.0176,944.76,48,11,1.23,1,36.6,5
P1,2025-04-10,124.01,300.7,51.36,190.45,1856,2.631,4.414,1.683,17.44,8.2,66.84,78.54,68.31,61.16,57.38,29.73,4.27,81.53,4.25,0.0185,962.71,49,11,1.168,3,36.41,4
P1,2025-04-11,123.7,301.31,50.31,189.64,1852,2.773,4.665,1.757,17.49,8.35,66.57,78.64,67.22,60.35,57.44,30.62,4.25,81.3,4.21,0.0204,979.46,50,11,1.21,2,36.72,3
P1,2025-04-12,123.79,302.1,50.62,189.12,1849,2.673,4.687,1.738,17.69,8.2,67.56,77.87,68.17,61.58,57.06,29.56,4.22,80.86,4.23,0.0194,994.51,51,11,1.183,0,36.49,2
P1,2025-04-13,123.12,304.27,51.79,189.57,1847,2.722,4.807,1.701,17.77,8.35,66.77,79.34,67.87,62.17,57.21,28.6,4.24,80.04,4.26,0.0184,1015.65,52,12,1.232,0,36.8,1
P1,2025-04-14,119.71,314.15,50.97,184.33,1848,1.095,1.801,0.572,15.52,6.89,58.28,69.8,60.36,56.79,53.03,29.96,4.99,93.55,3.93,0.0065,22.12,1,12,0.242,0,27.97,59
P1,2025-04-15,119.74,312.5,50.59,184.11,1858,1.032,1.956,0.562,15.59,6.94,56.83,70.78,60.64,57.08,53.44,29.55,5.03,93.87,3.95,0.0069,45.67,2,12,0.271,0,28.57,58
P1,2025-04-16,118.11,312.52,51.86,185.44,1846,0.949,1.83,0.608,15.6,6.87,57.54,70.05,60.35,57.35,54.37,30.75,5.09,93.4,3.83,0.0061,65.18,3,12,0.249,0,29.23,57
P1,2025-04-17,119.2,314.92,51.64,183.76,1858,1.068,1.871,0.723,15.47,6.97,57.42,71.38,59.48,56.07,53.62,29.22,5.06,92.46,3.97,0.0095,81.69,4,12,0.288,1,29.25,56
P1,2025-04-18,120.12,313.31,51.84,185.58,1863,1.205,2.109,0.679,15.81,6.99,58.2,70.44,60.48,57.26,53.08,28.25,5.09,93.0,3.91,0.0075,97.17,5,12,0.344,0,29.25,55
P1,2025-04-19,118.47,312.86,52.52,184.63,1855,1.074,1.966,0.571,15.62,6.98,56.78,69.6,60.34,56.46,54.7,28.98,5.06,92.39,3.97,0.0088,117.17,6,12,0.329,0,29.69,54
P1,2025-04-20,118.89,311.26,52.09,184.31,1857,1.211,2.111,0.787,15.76,7.06,58.99,70.99,60.99,57.73,54.02,30.97,4.96,91.21,3.92,0.006,139.54,7,12,0.306,0,29.88,53
P1,2025-04-21,117.43,312.52,52.71,185.1,1856,1.142,1.96,0.745,15.89,6.89,57.87,70.79,61.22,57.56,52.41,28.99,5.08,92.65,3.97,0.0082,159.3,8,12,0.34,0,29.36,52
P1,2025-04-22,118.37,310.19,52.19,183.6,1857,1.219,2.053,0.74,15.61,7.06,58.8,70.54,61.54,57.5,53.62,28.16,4.98,92.47,3.88,0.0069,181.41,9,12,0.324,1,30.4,51
P1,2025-04-23,121.07,310.49,52.79,185.59,1850,1.251,2.226,0.84,16.01,7.14,59.2,71.14,60.18,57.15,53.15,29.33,5.1,91.88,3.99,0.0086,199.63,10,12,0.443,0,30.26,50
P1,2025-04-24,119.64,310.3,52.82,185.04,1844,1.307,2.184,0.816,15.69,7.08,58.22,71.57,61.66,56.73,54.48,30.81,5.0,91.72,4.02,0.0086,217.81,11,12,0.385,0,28.84,49
P1,2025-04-25,119.02,313.04,53.68,185.1,1858,1.374,2.328,0.882,15.84,7.11,59.41,71.6,61.83,57.67,54.08,29.86,4.95,91.08,3.96,0.0094,233.59,12,12,0.421,0,30.28,48
P1,2025-04-26,120.73,310.83,52.5,186.14,1848,1.403,2.441,0.874,15.88,7.14,58.59,71.12,61.51,57.43,55.12,29.74,4.89,90.74,4.01,0.0091,248.13,13,13,0.453,0,30.86,47
P1,2025-04-27,119.24,309.03,52.66,184.28,1848,1.393,2.695,0.85,15.92,7.21,60.46,72.49,62.34,57.89,54.75,29.46,4.99,90.82,3.99,0.0088,270.58,14,13,0.445,0,30.05,46
P1,2025-04-28,119.18,315.33,52.44,184.98,1852,1.375,2.529,0.784,16.07,7.23,59.81,71.23,62.59,58.4,54.35,28.87,4.94,90.46,3.96,0.0101,289.9,15,14,0.497,0,30.58,45
P1,2025-04-29,120.2,311.94,53.01,185.34,1853,1.519,2.46,0.908,15.94,7.19,58.99,71.31,61.75,57.2,53.05,30.65,4.88,90.34,4.02,0.0087,305.43,16,14,0.479,0,30.17,44
P1,2025-04-30,120.37,310.54,53.18,186.48,1849,1.643,2.773,0.989,16.31,7.11,59.98,70.98,62.5,58.0,54.39,29.98,4.88,90.34,4.09,0.0096,321.06,17,14,0.571,0,30.35,43
P1,2025-05-01,119.56,310.32,53.52,185.64,1851,1.546,2.676,0.931,16.03,7.22,59.77,72.54,62.45,58.95,54.33,29.83,4.85,90.97,4.1,0.0105,340.42,18,14,0.517,0,31.51,42
P1,2025-05-02,120.05,307.09,53.52,186.92,1848,1.552,2.686,0.986,16.41,7.44,59.49,72.9,61.93,58.31,54.46,30.58,4.97,90.36,4.07,0.0094,361.3,19,14,0.538,0,31.27,41
P1,2025-05-03,120.82,313.71,52.98,186.14,1850,1.647,2.801,0.958,16.17,7.44,59.97,72.42,63.28,58.79,54.0,28.85,4.82,90.73,3.98,0.0102,384.14,20,15,0.579,0,31.25,40
